penalty,yards,num_occ
Def_12_On-field,5,348
Def_Chop_Block,15,1
Def_Clipping,4,1
Def_Delay_of_Game,5,72
Def_Disqualification,15,108
Def_Encroachment,5,778
Def_Face_Mask,15,1007
Def_Holding,5,4119
Def_Horse_Collar_Tackle,15,260
Def_Illegal_Bat,10,1
Def_Illegal_Blindside_Block,15,27
Def_Illegal_Block_Above_the_Waist,10,71
Def_Illegal_Contact,5,1404
Def_Illegal_Crackback,15,1
Def_Illegal_Formation,5,3
Def_Illegal_Forward_Pass,5,11
Def_Illegal_Shift,5,1
Def_Illegal_Substitution,5,41
Def_Illegal_Use_of_Hands,5,1184
Def_Low_Block,15,29
Def_Lowering_the_Head_to_Initiate_Contact,15,76
Def_Lowering_the_Head_to_Make_Forcible_Contact,15,8
Def_Neutral_Zone_Infraction,5,1792
Def_Offside,5,3425
Def_Pass_Interference,spot,4548
Def_Personal_Foul,15,276
Def_Roughing_the_Kicker,15,1
Def_Roughing_the_Passer,15,1718
Def_Taunting,15,142
Def_Too_Many_Men_on_Field,5,276
Def_Tripping,10,39
Def_Unnecessary_Roughness,15,2059
Def_Unsportsmanlike_Conduct,15,380
Off_12_On-field,5,68
Off_Chop_Block,15,160
Off_Clipping,15,59
Off_Delay_of_Game,5,1794
Off_Delay_of_Kickoff,5,3
Off_Disqualification,15,54
Off_Face_Mask,15,297
Off_False_Start,5,8964
Off_Holding,10,9459
Off_Horse_Collar_Tackle,15,24
Off_Illegal_Bat,10,8
Off_Illegal_Blindside_Block,15,74
Off_Illegal_Block_Above_the_Waist,10,563
Off_Illegal_Crackback,15,52
Off_Illegal_Cut,15,2
Off_Illegal_Formation,5,1020
Off_Illegal_Forward_Pass,5,104
Off_Illegal_Kick,0,2
Off_Illegal_Motion,5,230
Off_Illegal_Peelback,15,7
Off_Illegal_Receiver_Pass,5,3
Off_Illegal_Shift,5,703
Off_Illegal_Substitution,5,103
Off_Illegal_Touch_Pass,5,127
Off_Illegal_Use_of_Hands,10,519
Off_Ineligible_Downfield_Kick,5,2
Off_Ineligible_Downfield_Pass,5,706
Off_Intentional_Grounding,10,649
Off_Low_Block,15,40
Off_Lowering_the_Head_to_Initiate_Contact,15,6
Off_Offside,5,74
Off_Offside_on_Free_Kick,5,1
Off_Pass_Interference,10,1644
Off_Personal_Foul,15,153
Off_Taunting,15,142
Off_Too_Many_Men_on_Field,5,71
Off_Tripping,10,116
Off_Unnecessary_Roughness,15,592
Off_Unsportsmanlike_Conduct,15,371
ST_12_On-field,5,72
ST_Chop_Block,15,20
ST_Clipping,5,4
ST_Delay_of_Game,5,599
ST_Delay_of_Kickoff,5,2
ST_Disqualification,15,27
ST_Encroachment,5,40
ST_Face_Mask,15,209
ST_Fair_Catch_Interference,15,98
ST_False_Start,5,685
ST_Holding,10,2862
ST_Horse_Collar_Tackle,15,38
ST_Illegal_Bat,10,15
ST_Illegal_Blindside_Block,15,83
ST_Illegal_Block_Above_the_Waist,10,1349
ST_Illegal_Crackback,15,1
ST_Illegal_Double-Team_Block,10,41
ST_Illegal_Formation,5,343
ST_Illegal_Forward_Pass,0,10
ST_Illegal_Kick,10,5
ST_Illegal_Kick/Kicking_Loose_Ball,10,4
ST_Illegal_Motion,5,32
ST_Illegal_Onside_Kick,5,1
ST_Illegal_Peelback,15,1
ST_Illegal_Procedure,5,1
ST_Illegal_Shift,5,29
ST_Illegal_Substitution,5,19
ST_Illegal_Touch_Kick,5,127
ST_Illegal_Touch_Pass,5,2
ST_Illegal_Use_of_Hands,10,64
ST_Illegal_Wedge,6,9
ST_Illegally_Kicking_Ball,10,3
ST_Ineligible_Downfield_Kick,5,139
ST_Ineligible_Downfield_Pass,5,7
ST_Intentional_Grounding,10,1
ST_Interference_with_Opportunity_to_Catch,15,40
ST_Invalid_Fair_Catch_Signal,5,19
ST_Kick_Catch_Interference,15,26
ST_Kickoff_Out_of_Bounds,0,9
ST_Leaping,6,17
ST_Leverage,15,51
ST_Low_Block,15,30
ST_Lowering_the_Head_to_Initiate_Contact,15,6
ST_Lowering_the_Head_to_Make_Forcible_Contact,15,2
ST_Neutral_Zone_Infraction,5,117
ST_Offside,5,461
ST_Offside_on_Free_Kick,5,246
ST_Pass_Interference,10,4
ST_Personal_Foul,15,93
ST_Player_Out_of_Bounds_on_Kick,5,67
ST_Player_Out_of_Bounds_on_Punt,5,97
ST_Roughing_the_Kicker,15,92
ST_Roughing_the_Passer,13,1
ST_Running_Into_the_Kicker,5,234
ST_Short_Free_Kick,5,2
ST_Taunting,15,35
ST_Too_Many_Men_on_Field,5,34
ST_Tripping,10,11
ST_Unnecessary_Roughness,15,598
ST_Unsportsmanlike_Conduct,15,244
